IRWANSYAH,0076457777,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,22,44,40,44,16,26,A,E,S,A-E-S,44,44,40,Ahli Kesehatan Gigi,Ahli Diet,bambang,1231331
MUHAMMAD SYAFRI RASIDIN,3057127344,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B5,C2,D2,E2,F2,G2,H3,I2,J2,K5,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Farmasi (Farmakolog),Ahli Kimia,bambang,1231332
MUH. AKBAR,3053610604,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,52,56,54,60,56,52,A,I,E,A-I-E,60,56,56,Ahli Kosmetik,Ahli Geografi,bambang,1231333
AHMAD WAHYUDIN,0031308987,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,104,A3,B3,C3,D3,E3,F3,G3,H3,I3,J3,K3,52,54,46,50,54,48,I,E,C,I-E-C,54,54,52,Ahli Lingkungan,Ahli Ilmu Biologi,bambang,1231334
MUSTIAR,0051117781,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,104,A3,B5,C4,D3,E2,F2,G2,H3,I3,J3,K5,14,14,34,8,28,74,R,S,I,R-S-I,74,34,28,Ahli Patologi Wicara,Ahli Ilmu Bius (Anaesthesi),bambang,1231335
INAYAH,0051351077,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B2,C2,D2,E3,F3,G3,H2,I4,J4,K2,60,74,40,12,16,16,E,C,S,E-C-S,74,60,40,Ahli Ilmu Cuaca (Meteorologi),Ahli Pengobatan Tulang Punggung,bambang,1231336
WAHYUNI,0057507721,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,88,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,80,60,70,42,44,44,C,S,E,C-S-E,80,70,60,Ahli Ilmu Hewan,Ahli Perkebunan,bambang,1231337
MUSLINA,0060074544,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B3,C3,D2,E2,F2,G2,H3,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Statistik,Ahli Ilmu Kelautan (Oseanografi),bambang,1231338
RAHMAT,0048987783,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B3,C3,D2,E4,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Taman Nasional-Suaka Alam/Margasatwa,Ahli Ilmu Sosial (Sosiologi),bambang,1231339
JUMARDIANSYAH,0041020411,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C3,D2,E4,F5,G5,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Aktor-Aktris,Ahli Ilmu Tanah (Agronomi),bambang,1231340
ZULFIKAR,0038897266,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E3,F3,G3,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Akuntan,Ahli Perkebunan,bambang,1231341
ADI,0045613652,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B2,C2,D2,E2,F3,G3,H2,I4,J4,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Akuntan Biaya,Ahli Statistik,bambang,1231342
MILA SUDIRMAN,0041117306,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B2,C2,D2,E2,F3,G3,H2,I4,J4,K2,74,70,60,46,46,36,C,E,S,C-E-S,74,70,60,Akuntan Pajak,Ahli Taman Nasional-Suaka Alam/Margasatwa,bambang,1231343
RAMAH,0051474201,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C3,D3,E3,F2,G2,H2,I2,J2,K3,10,32,52,12,20,54,R,S,E,R-S-E,54,52,32,Analis Anggaran,Ahli Kosmetik,bambang,1231344
ARI ARDANA,0051117947,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Analis Keuangan,Akuntan,bambang,1231345
RUSMAN,0057432176,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,86,A2,B3,C2,D2,E2,F3,G3,H2,I2,J2,K3,48,64,58,50,46,50,E,S,R,E-S-R,64,58,50,Analis Kredit,Akuntan Biaya,bambang,1231346
MUH. ARIL,0053157646,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,100,A3,B5,C2,D4,E2,F3,G3,H5,I3,J3,K5,34,26,40,26,18,28,S,C,R,S-C-R,40,34,28,Akuntan Pajak,Analis Riset,bambang,1231347
FIRMAN,0049456877,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B2,C2,D2,E3,F2,G2,H2,I4,J4,K2,60,46,66,38,38,42,S,C,E,S-C-E,66,60,46,Analis Riset pemasaran,Ahli Perkebunan,bambang,1231348
RENDI AFANDY,0049567421,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,88,A2,B4,C3,D2,E2,F2,G2,H2,I2,J2,K4,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Statistik,Analis Keuangan,bambang,1231349
WAWAN,0027770236,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,90,A3,B4,C3,D3,E2,F2,G2,H3,I2,J2,K4,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Analis Kredit,Antropolog,bambang,1231350
WAHYUNI,0054393627,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B3,C2,D2,E2,F3,G3,H2,I4,J4,K3,48,46,44,42,30,16,C,E,S,C-E-S,48,46,44,Arkeolog,Analis Riset,bambang,1231351
HARMAWATI,3035966306,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C2,D2,E3,F2,G2,H2,I4,J4,K3,24,24,46,44,36,40,S,A,R,S-A-R,46,44,40,Arsitek,Akuntan,bambang,1231352
MUH ASHAR,0058112287,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F3,G3,H2,I2,J2,K2,32,42,32,10,14,40,E,R,S,E-R-S,42,40,32,Akuntan Biaya,Arsitek Tata Ruang (Lanskap),bambang,1231353
SOFYAN,0064634696,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Asisten Administrasi,Akuntan Pajak,bambang,1231354
SUL FAJAR,3048021922,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Asisten Dokter Gigi,Analis Anggaran,bambang,1231355
RATNA LISTI,0051389701,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Analis Keuangan,Asisten Dokter Umum,bambang,1231356
SARTIA,0064349890,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,88,A2,B3,C2,D2,E2,F2,G2,H2,I4,J4,K3,54,48,68,54,66,66,S,R,I,S-R-I,68,66,66,Asisten Medis,Analis Kredit,bambang,1231357
NURHILDA,0057772745,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,88,A2,B4,C2,D2,E2,F3,G3,H2,I2,J2,K4,28,46,46,30,34,36,S,E,R,S-E-R,46,46,36,Asisten Pustakawan,Analis Riset,bambang,1231358
FADIYA DWI RAHMADANI,0053430674,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,94,A3,B2,C2,D3,E2,F3,G3,H2,I4,J4,K2,28,32,52,42,30,26,S,A,E,S-A-E,52,42,32,Atlit Profesional,Asisten Dokter Gigi,bambang,1231359
ARIEL WAHYUDI,3056126728,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B4,C3,D2,E3,F2,G2,H3,I2,J2,K4,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Auditor Internal,Analis Sistem Komputer,bambang,1231360
AL RAHMAT HIDAYATULLAH,3051001746,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Asisten Medis,Desainer Interior,bambang,1231361
RIZAL HAYA,0033127255,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F3,G3,H2,I2,J2,K2,70,54,72,46,66,50,S,C,I,S-C-I,72,70,66,Detektif,Arkeolog,bambang,1231362
ARINI ARMIL,0051351044,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,94,A3,B2,C2,D2,E2,F3,G3,H2,I4,J4,K2,48,54,66,48,82,8,I,S,E,I-S-E,82,66,54,Direktur Kapal Pesiar,Arsitek,bambang,1231363
MARIYANI,0038692882,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Arsitek Tata Ruang (Lanskap),Direktur Layanan Sosial,bambang,1231364
SARTINA,0045316934,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Asisten Administrasi,Direktur Pemakaman,bambang,1231365
SYAHRUL RAMADAN,0035159071,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Detektif,Direktur Rekreasi,bambang,1231366
MUH. HARDIKNASRI,3057648836,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Direktur Kapal Pesiar,Asisten Dokter Umum,bambang,1231367
ANUGRAH AGUNG,0051117770,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Asisten Medis,Disainer Baju-Pakaian-Mode,bambang,1231368
NURSYAHRANI,0051117785,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,94,A3,B2,C2,D2,E2,F2,G2,H2,I4,J4,K2,60,48,44,60,68,50,I,A,C,I-A-C,68,60,60,Disainer Furnitur/Mebeler,Direktur Pemakaman,bambang,1231369
IMAM SAID,0057623810,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Disainer Grafis,Atlit Profesional,bambang,1231370
SRI RAHAYU HERMAN,0054033403,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F3,G3,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Administratur Lembaga Pendidikan/Sekolah,Auditor Internal,bambang,1231371
MAGFIRA,0075786391,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C2,D3,E3,F3,G3,H3,I4,J4,K3,52,48,50,42,40,24,C,S,E,C-S-E,52,50,48,Administratur Rekam Medis,Desainer Interior,bambang,1231372
RISALDI,0051757030,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Detektif,Disainer Furnitur/Mebeler,bambang,1231373
AINUN MARDIAH,0053195394,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,94,A3,B2,C2,D3,E3,F2,G2,H2,I4,J4,K2,70,66,74,58,62,52,S,C,E,S-C-E,74,70,66,Direktur Kapal Pesiar,Disainer Grafis,bambang,1231374
RAHMAT HIDAYAT,0046811219,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,90,A3,B2,C2,D2,E2,F3,G3,H2,I4,J4,K2,82,84,58,38,58,52,E,C,I,E-C-I,84,82,58,Direktur Layanan Sosial,Agen Perjalanan,bambang,1231375
SISKAYANI,0052284230,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,86,A2,B3,C2,D2,E2,F3,G3,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Agen Real Estat/Perumahan Mewah,Direktur Pemakaman,bambang,1231376
SUKMA,0046554850,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,86,A2,B5,C3,D2,E2,F2,G2,H3,I2,J2,K5,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Agen Tiketing,Direktur Rekreasi,bambang,1231377
NADIA HAMZI,0047088034,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,88,A2,B3,C2,D3,E2,F2,G2,H3,I2,J2,K3,70,78,68,80,54,56,A,E,C,A-E-C,80,78,70,Ahli Biokimia,Direktur Seni Biro Periklanan,bambang,1231378
MEI NUR ALIFIAN,0062150247,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Diet,Disainer Baju-Pakaian-Mode,bambang,1231379
M. RAEHAN RIZALDY,0051351072,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Farmasi (Farmakolog),Disainer Furnitur/Mebeler,bambang,1231380
NURFADILLAH,0047547728,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,100,A3,B3,C2,D2,E3,F3,G3,H2,I4,J4,K3,44,48,36,26,18,10,E,C,S,E-C-S,48,44,36,Ahli Geografi,Disainer Grafis,bambang,1231381
MUH. ARIF SANTOSO,3052344324,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Biologi,Administratur Lembaga Pendidikan/Sekolah,bambang,1231382
FAIDZ AL-HAFIDZ,3053878421,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B3,C2,D2,E2,F2,G2,H2,I4,J4,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Bius (Anaesthesi),Administratur Rekam Medis,bambang,1231383
ALDI ARDIANSYAH,0055512308,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F3,G3,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Cuaca (Meteorologi),Ahli Farmasi (Farmakolog),bambang,1231384
MUH. REZA ANUGRAH PRATAMA,0057036232,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Hewan,Ahli Geografi,bambang,1231385
MUH. FIQRAM B,0051118017,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C2,D4,E3,F3,G3,H4,I2,J2,K3,12,32,32,30,32,32,R,I,S,R-I-S,32,32,32,Agen Perjalanan,Ahli Ilmu Biologi,bambang,1231386
SULFIAN,0046021731,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,86,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Agen Real Estat/Perumahan Mewah,Ahli Ilmu Bius (Anaesthesi),bambang,1231387
ERNI IRCAHYANI,0058114532,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,100,A3,B3,C3,D2,E2,F3,G3,H2,I4,J4,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Agen Tiketing,Ahli Ilmu Cuaca (Meteorologi),bambang,1231388
ROSDIANA,0045108728,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H3,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Hewan,Ahli Kacamata-Optisian,bambang,1231389
MARDIANAH IKA SAPUTRI,0058515978,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,10,34,48,62,62,42,I,A,S,I-A-S,62,62,48,Ahli Diet,Ahli Kesehatan Gigi,bambang,1231390
IRWANSYAH,0051733392,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,92,A3,B3,C2,D2,E2,F2,G2,H2,I4,J4,K3,38,28,30,28,16,56,R,C,S,R-C-S,56,38,30,Ahli Farmasi (Farmakolog),Ahli Ilmu Sosial (Sosiologi),bambang,1231391
DHANI AFRISAL,0053686345,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F3,G3,H2,I2,J2,K2,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Geografi,Ahli Kosmetik,bambang,1231392
ICA,0058764769,SMK NEGERI Coba 1,19 JULI 2020,PEREMPUAN,12 JANUARI 2005,15,85,A2,B2,C2,D2,E2,F3,G3,H2,I2,J2,K2,98,72,80,64,66,64,C,S,E,C-S-E,98,80,72,Ahli Ilmu Biologi,Ahli Kacamata-Optisian,bambang,1231393
FIRMANSYAH,3057327943,SMK NEGERI Coba 1,19 JULI 2020,LAKI-LAKI,12 JANUARI 2005,15,85,A2,B3,C2,D2,E2,F2,G2,H2,I2,J2,K3,10,21.98,23.96,25.94,17.92,19.9,A,S,E,A-S-E,25.94,23.96,21.98,Ahli Ilmu Bius (Anaesthesi),Ahli Kesehatan Gigi,bambang,1231394
